epsilon,q,gamma,rho_mean
0.0,0.5,0.0,0.11362
0.0,0.5,0.25,0.11307000000000003
0.0,0.5,0.5,0.11288000000000002
0.0,0.5,0.75,0.11415000000000003
0.0,0.5,1.0,0.11331000000000004
0.0,0.5102040816326531,0.0,0.11371000000000003
0.0,0.5102040816326531,0.25,0.25276000000000004
0.0,0.5102040816326531,0.5,0.2532150000000001
0.0,0.5102040816326531,0.75,0.254425
0.0,0.5102040816326531,1.0,0.453495
0.0,0.5204081632653061,0.0,0.11344000000000001
0.0,0.5204081632653061,0.25,0.25299000000000005
0.0,0.5204081632653061,0.5,0.2537400000000001
0.0,0.5204081632653061,0.75,0.26272000000000006
0.0,0.5204081632653061,1.0,0.45352
0.0,0.5306122448979592,0.0,0.11046500000000004
0.0,0.5306122448979592,0.25,0.25111000000000006
0.0,0.5306122448979592,0.5,0.25067
0.0,0.5306122448979592,0.75,0.26703000000000005
0.0,0.5306122448979592,1.0,0.45230999999999993
0.0,0.5408163265306123,0.0,0.11053500000000004
0.0,0.5408163265306123,0.25,0.2526
0.0,0.5408163265306123,0.5,0.25455000000000005
0.0,0.5408163265306123,0.75,0.27824
0.0,0.5408163265306123,1.0,0.45148
0.0,0.5510204081632653,0.0,0.11020000000000002
0.0,0.5510204081632653,0.25,0.254025
0.0,0.5510204081632653,0.5,0.2555
0.0,0.5510204081632653,0.75,0.27725500000000003
0.0,0.5510204081632653,1.0,0.449445
0.0,0.5612244897959183,0.0,0.11062000000000002
0.0,0.5612244897959183,0.25,0.25619500000000006
0.0,0.5612244897959183,0.5,0.26034500000000005
0.0,0.5612244897959183,0.75,0.281005
0.0,0.5612244897959183,1.0,0.4281
0.0,0.5714285714285714,0.0,0.11055000000000002
0.0,0.5714285714285714,0.25,0.255575
0.0,0.5714285714285714,0.5,0.262245
0.0,0.5714285714285714,0.75,0.282395
0.0,0.5714285714285714,1.0,0.42906000000000005
0.0,0.5816326530612245,0.0,0.11043000000000001
0.0,0.5816326530612245,0.25,0.26227500000000004
0.0,0.5816326530612245,0.5,0.2634
0.0,0.5816326530612245,0.75,0.27937
0.0,0.5816326530612245,1.0,0.42899499999999996
0.0,0.5918367346938775,0.0,0.11043500000000003
0.0,0.5918367346938775,0.25,0.26352
0.0,0.5918367346938775,0.5,0.273455
0.0,0.5918367346938775,0.75,0.27418000000000003
0.0,0.5918367346938775,1.0,0.42920499999999995
0.0,0.6020408163265306,0.0,0.11049500000000002
0.0,0.6020408163265306,0.25,0.26257
0.0,0.6020408163265306,0.5,0.27301
0.0,0.6020408163265306,0.75,0.27353
0.0,0.6020408163265306,1.0,0.43200500000000003
0.0,0.6122448979591837,0.0,0.11097500000000005
0.0,0.6122448979591837,0.25,0.25167000000000006
0.0,0.6122448979591837,0.5,0.27235
0.0,0.6122448979591837,0.75,0.275985
0.0,0.6122448979591837,1.0,0.3913
0.0,0.6224489795918368,0.0,0.11122500000000002
0.0,0.6224489795918368,0.25,0.27113000000000004
0.0,0.6224489795918368,0.5,0.27106
0.0,0.6224489795918368,0.75,0.27365
0.0,0.6224489795918368,1.0,0.39153
0.0,0.6326530612244898,0.0,0.11052000000000002
0.0,0.6326530612244898,0.25,0.272495
0.0,0.6326530612244898,0.5,0.27303
0.0,0.6326530612244898,0.75,0.273055
0.0,0.6326530612244898,1.0,0.307055
0.0,0.6428571428571428,0.0,0.110365
0.0,0.6428571428571428,0.25,0.26956
0.0,0.6428571428571428,0.5,0.27283500000000005
0.0,0.6428571428571428,0.75,0.27421
0.0,0.6428571428571428,1.0,0.30461
0.0,0.6530612244897959,0.0,0.11151500000000003
0.0,0.6530612244897959,0.25,0.251165
0.0,0.6530612244897959,0.5,0.272285
0.0,0.6530612244897959,0.75,0.29019500000000004
0.0,0.6530612244897959,1.0,0.30349499999999996
0.0,0.6632653061224489,0.0,0.11162000000000002
0.0,0.6632653061224489,0.25,0.250745
0.0,0.6632653061224489,0.5,0.271175
0.0,0.6632653061224489,0.75,0.28916
0.0,0.6632653061224489,1.0,0.300455
0.0,0.673469387755102,0.0,0.11167500000000002
0.0,0.673469387755102,0.25,0.253475
0.0,0.673469387755102,0.5,0.25360000000000005
0.0,0.673469387755102,0.75,0.293615
0.0,0.673469387755102,1.0,0.293575
0.0,0.6836734693877551,0.0,0.11713000000000001
0.0,0.6836734693877551,0.25,0.25396500000000005
0.0,0.6836734693877551,0.5,0.25389500000000004
0.0,0.6836734693877551,0.75,0.29444499999999996
0.0,0.6836734693877551,1.0,0.294775
0.0,0.6938775510204082,0.0,0.11163500000000004
0.0,0.6938775510204082,0.25,0.25556500000000004
0.0,0.6938775510204082,0.5,0.256575
0.0,0.6938775510204082,0.75,0.29153500000000004
0.0,0.6938775510204082,1.0,0.30002
0.0,0.7040816326530612,0.0,0.1317
0.0,0.7040816326530612,0.25,0.25655
0.0,0.7040816326530612,0.5,0.255825
0.0,0.7040816326530612,0.75,0.29335
0.0,0.7040816326530612,1.0,0.298125
0.0,0.7142857142857143,0.0,0.11552500000000002
0.0,0.7142857142857143,0.25,0.27532500000000004
0.0,0.7142857142857143,0.5,0.275165
0.0,0.7142857142857143,0.75,0.30513
0.0,0.7142857142857143,1.0,0.298945
0.0,0.7244897959183674,0.0,0.13866
0.0,0.7244897959183674,0.25,0.256115
0.0,0.7244897959183674,0.5,0.25595
0.0,0.7244897959183674,0.75,0.28873499999999996
0.0,0.7244897959183674,1.0,0.29144
0.0,0.7346938775510203,0.0,0.13569000000000003
0.0,0.7346938775510203,0.25,0.27694
0.0,0.7346938775510203,0.5,0.27686000000000005
0.0,0.7346938775510203,0.75,0.31385
0.0,0.7346938775510203,1.0,0.31651
0.0,0.7448979591836735,0.0,0.2136
0.0,0.7448979591836735,0.25,0.311645
0.0,0.7448979591836735,0.5,0.31123
0.0,0.7448979591836735,0.75,0.31657500000000005
0.0,0.7448979591836735,1.0,0.38349
0.0,0.7551020408163265,0.0,0.8998700000000001
0.0,0.7551020408163265,0.25,0.89992
0.0,0.7551020408163265,0.5,0.89941
0.0,0.7551020408163265,0.75,0.900315
0.0,0.7551020408163265,1.0,0.899005
0.0,0.7653061224489796,0.0,0.950715
0.0,0.7653061224489796,0.25,0.95045
0.0,0.7653061224489796,0.5,0.9517599999999998
0.0,0.7653061224489796,0.75,0.950915
0.0,0.7653061224489796,1.0,0.950435
0.0,0.7755102040816326,0.0,0.8564400000000001
0.0,0.7755102040816326,0.25,0.85661
0.0,0.7755102040816326,0.5,0.8551350000000001
0.0,0.7755102040816326,0.75,0.85698
0.0,0.7755102040816326,1.0,0.8865699999999999
0.0,0.7857142857142857,0.0,1.0
0.0,0.7857142857142857,0.25,1.0
0.0,0.7857142857142857,0.5,1.0
0.0,0.7857142857142857,0.75,1.0
0.0,0.7857142857142857,1.0,1.0
0.0,0.7959183673469388,0.0,0.8315600000000001
0.0,0.7959183673469388,0.25,0.8314450000000001
0.0,0.7959183673469388,0.5,0.83357
0.0,0.7959183673469388,0.75,0.8320400000000001
0.0,0.7959183673469388,1.0,0.8054450000000001
0.0,0.8061224489795917,0.0,0.9293849999999999
0.0,0.8061224489795917,0.25,0.929025
0.0,0.8061224489795917,0.5,0.9273950000000001
0.0,0.8061224489795917,0.75,0.927895
0.0,0.8061224489795917,1.0,0.9237850000000001
0.0,0.8163265306122449,0.0,0.92879
0.0,0.8163265306122449,0.25,0.9283349999999998
0.0,0.8163265306122449,0.5,0.927825
0.0,0.8163265306122449,0.75,0.929155
0.0,0.8163265306122449,1.0,0.8636300000000001
0.0,0.8265306122448979,0.0,1.0
0.0,0.8265306122448979,0.25,1.0
0.0,0.8265306122448979,0.5,1.0
0.0,0.8265306122448979,0.75,1.0
0.0,0.8265306122448979,1.0,0.8424550000000001
0.0,0.8367346938775511,0.0,0.8892549999999999
0.0,0.8367346938775511,0.25,0.8884800000000002
0.0,0.8367346938775511,0.5,0.888975
0.0,0.8367346938775511,0.75,0.888835
0.0,0.8367346938775511,1.0,0.8028350000000001
0.0,0.846938775510204,0.0,0.8876950000000001
0.0,0.846938775510204,0.25,0.88751
0.0,0.846938775510204,0.5,0.88695
0.0,0.846938775510204,0.75,0.8877450000000001
0.0,0.846938775510204,1.0,0.887345
0.0,0.8571428571428571,0.0,0.895525
0.0,0.8571428571428571,0.25,0.8955300000000002
0.0,0.8571428571428571,0.5,0.895985
0.0,0.8571428571428571,0.75,0.89575
0.0,0.8571428571428571,1.0,0.8825650000000002
0.0,0.8673469387755102,0.0,0.8897300000000001
0.0,0.8673469387755102,0.25,0.889975
0.0,0.8673469387755102,0.5,0.8902550000000001
0.0,0.8673469387755102,0.75,0.8896700000000001
0.0,0.8673469387755102,1.0,0.8896650000000002
0.0,0.8775510204081632,0.0,1.0
0.0,0.8775510204081632,0.25,1.0
0.0,0.8775510204081632,0.5,1.0
0.0,0.8775510204081632,0.75,1.0
0.0,0.8775510204081632,1.0,0.84644
0.0,0.8877551020408163,0.0,1.0
0.0,0.8877551020408163,0.25,1.0
0.0,0.8877551020408163,0.5,1.0
0.0,0.8877551020408163,0.75,1.0
0.0,0.8877551020408163,1.0,0.8460950000000003
0.0,0.8979591836734693,0.0,0.8741950000000003
0.0,0.8979591836734693,0.25,0.87521
0.0,0.8979591836734693,0.5,0.8739050000000002
0.0,0.8979591836734693,0.75,0.8750250000000002
0.0,0.8979591836734693,1.0,0.75176
0.0,0.9081632653061225,0.0,0.8922150000000001
0.0,0.9081632653061225,0.25,0.8924900000000001
0.0,0.9081632653061225,0.5,0.8924250000000001
0.0,0.9081632653061225,0.75,0.8923050000000002
0.0,0.9081632653061225,1.0,0.86851
0.0,0.9183673469387754,0.0,0.8926850000000002
0.0,0.9183673469387754,0.25,0.8928600000000002
0.0,0.9183673469387754,0.5,0.8920250000000002
0.0,0.9183673469387754,0.75,0.8929100000000002
0.0,0.9183673469387754,1.0,0.8691650000000002
0.0,0.9285714285714286,0.0,1.0
0.0,0.9285714285714286,0.25,1.0
0.0,0.9285714285714286,0.5,1.0
0.0,0.9285714285714286,0.75,1.0
0.0,0.9285714285714286,1.0,0.7063950000000001
0.0,0.9387755102040816,0.0,1.0
0.0,0.9387755102040816,0.25,1.0
0.0,0.9387755102040816,0.5,1.0
0.0,0.9387755102040816,0.75,1.0
0.0,0.9387755102040816,1.0,0.8321049999999999
0.0,0.9489795918367346,0.0,1.0
0.0,0.9489795918367346,0.25,1.0
0.0,0.9489795918367346,0.5,1.0
0.0,0.9489795918367346,0.75,1.0
0.0,0.9489795918367346,1.0,0.7976600000000001
0.0,0.9591836734693877,0.0,1.0
0.0,0.9591836734693877,0.25,1.0
0.0,0.9591836734693877,0.5,1.0
0.0,0.9591836734693877,0.75,1.0
0.0,0.9591836734693877,1.0,0.7741300000000001
0.0,0.9693877551020408,0.0,1.0
0.0,0.9693877551020408,0.25,1.0
0.0,0.9693877551020408,0.5,1.0
0.0,0.9693877551020408,0.75,1.0
0.0,0.9693877551020408,1.0,0.8721250000000002
0.0,0.9795918367346939,0.0,1.0
0.0,0.9795918367346939,0.25,1.0
0.0,0.9795918367346939,0.5,1.0
0.0,0.9795918367346939,0.75,1.0
0.0,0.9795918367346939,1.0,0.69067
0.0,0.9897959183673469,0.0,1.0
0.0,0.9897959183673469,0.25,1.0
0.0,0.9897959183673469,0.5,1.0
0.0,0.9897959183673469,0.75,1.0
0.0,0.9897959183673469,1.0,0.705985
0.0,1.0,0.0,1.0
0.0,1.0,0.25,1.0
0.0,1.0,0.5,1.0
0.0,1.0,0.75,1.0
0.0,1.0,1.0,1.0
0.01020408163265306,0.5,0.0,0.10673500000000004
0.01020408163265306,0.5,0.25,0.10622500000000003
0.01020408163265306,0.5,0.5,0.10892000000000003
0.01020408163265306,0.5,0.75,0.136385
0.01020408163265306,0.5,1.0,0.13962500000000003
0.01020408163265306,0.5102040816326531,0.0,0.10663000000000002
0.01020408163265306,0.5102040816326531,0.25,0.24637500000000004
0.01020408163265306,0.5102040816326531,0.5,0.24912500000000004
0.01020408163265306,0.5102040816326531,0.75,0.26587000000000005
0.01020408163265306,0.5102040816326531,1.0,0.47959000000000007
0.01020408163265306,0.5204081632653061,0.0,0.10668500000000003
0.01020408163265306,0.5204081632653061,0.25,0.24718500000000004
0.01020408163265306,0.5204081632653061,0.5,0.24942000000000003
0.01020408163265306,0.5204081632653061,0.75,0.27647
0.01020408163265306,0.5204081632653061,1.0,0.47926499999999994
0.01020408163265306,0.5306122448979592,0.0,0.10659500000000002
0.01020408163265306,0.5306122448979592,0.25,0.24587000000000003
0.01020408163265306,0.5306122448979592,0.5,0.24967000000000003
0.01020408163265306,0.5306122448979592,0.75,0.29466499999999995
0.01020408163265306,0.5306122448979592,1.0,0.48081499999999994
0.01020408163265306,0.5408163265306123,0.0,0.10665000000000002
0.01020408163265306,0.5408163265306123,0.25,0.249665
0.01020408163265306,0.5408163265306123,0.5,0.25456500000000004
0.01020408163265306,0.5408163265306123,0.75,0.29463
0.01020408163265306,0.5408163265306123,1.0,0.49139499999999997
0.01020408163265306,0.5510204081632653,0.0,0.10707000000000003
0.01020408163265306,0.5510204081632653,0.25,0.25222
0.01020408163265306,0.5510204081632653,0.5,0.26973
0.01020408163265306,0.5510204081632653,0.75,0.299185
0.01020408163265306,0.5510204081632653,1.0,0.48158500000000004
0.01020408163265306,0.5612244897959183,0.0,0.10663000000000002
0.01020408163265306,0.5612244897959183,0.25,0.252355
0.01020408163265306,0.5612244897959183,0.5,0.27232500000000004
0.01020408163265306,0.5612244897959183,0.75,0.299115
0.01020408163265306,0.5612244897959183,1.0,0.4839
0.01020408163265306,0.5714285714285714,0.0,0.10685500000000002
0.01020408163265306,0.5714285714285714,0.25,0.25999
0.01020408163265306,0.5714285714285714,0.5,0.26955
0.01020408163265306,0.5714285714285714,0.75,0.296145
0.01020408163265306,0.5714285714285714,1.0,0.466525
0.01020408163265306,0.5816326530612245,0.0,0.10653500000000003
0.01020408163265306,0.5816326530612245,0.25,0.259585
0.01020408163265306,0.5816326530612245,0.5,0.27616999999999997
0.01020408163265306,0.5816326530612245,0.75,0.305805
