epsilon,q,gamma,rho_mean,rho_std,IG_mean,IG_std,ICI_mean,ICI_std,ISI_mean,ISI_std
0.0,0.5,0.0,-0.068,11.196221505490145,0.08031577751013083,0.18926561600949798,1.0,0.0,8.741,0.6715050260422479
0.0,0.5,0.25,-0.034,11.189228927857362,0.08049439606971401,0.18792505309684815,1.0,0.0,8.7298,0.6836607053209948
0.0,0.5,0.5,-0.096,11.256588470757915,0.08063461707583401,0.1888081907538112,1.0,0.0,8.7354,0.6776332636463474
0.0,0.5,0.75,-0.044,11.260464644054437,0.08066453076049694,0.1877773273476204,1.0,0.0,8.7218,0.6921016977294594
0.0,0.5,1.0,-0.038,11.30657136359206,0.08114898990986688,0.18794392352809833,1.0,0.0,8.7216,0.692310219482567
0.0,0.5102040816326531,0.0,0.106,11.295519642761018,0.08027864004945502,0.18851466752002063,1.0,0.0,8.7298,0.6836607053209948
0.0,0.5102040816326531,0.25,0.09,11.359220923989461,0.0809116338106049,0.1880618815048475,1.0,0.0,8.7348,0.6782838343938324
0.0,0.5102040816326531,0.5,0.338,11.223446707674075,0.08057961890817344,0.18845920489419143,1.0,0.0,8.7316,0.6817341417297508
0.0,0.5102040816326531,0.75,0.256,11.412907780228489,0.08042359521059349,0.1874942016395736,1.0,0.0,8.7224,0.6914754080948937
0.0,0.5102040816326531,1.0,0.478,11.338938045513785,0.08063547682941336,0.18815152334921473,1.0,0.0,8.729,0.6845136959915411
0.0,0.5204081632653061,0.0,0.32,11.231099679016298,0.0804005150226535,0.18865563528334217,1.0,0.0,8.7408,0.6717256582861786
0.0,0.5204081632653061,0.25,0.402,11.228463652699777,0.08065711910348794,0.18778125329731019,1.0,0.0,8.731,0.6823774615269762
0.0,0.5204081632653061,0.5,0.15,11.11294290455953,0.08050399767252844,0.18815645190501643,1.0,0.0,8.7382,0.6745819149665963
0.0,0.5204081632653061,0.75,0.456,11.279719145439747,0.08063858086006563,0.18789909902166518,1.0,0.0,8.7332,0.6800130586981401
0.0,0.5204081632653061,1.0,0.454,11.35050148671855,0.08061711872025837,0.18771876172556293,1.0,0.0,8.7284,0.6851521290925103
0.0,0.5306122448979592,0.0,1.042,11.006099945030483,0.08020278938101526,0.1888485661469715,1.0,0.0,8.5672,1.2455055840902522
0.0,0.5306122448979592,0.25,0.69,10.984712103646595,0.08056163646207477,0.18790725515664003,1.0,0.0,8.5352,1.297135675247582
0.0,0.5306122448979592,0.5,0.765,11.07902409962177,0.08083048432120585,0.18776805676753483,1.0,0.0,8.5349,1.288558105015059
0.0,0.5306122448979592,0.75,0.507,10.992404241111222,0.08065532587157985,0.18831380172147988,1.0,0.0,8.5549,1.261184360036232
0.0,0.5306122448979592,1.0,0.63,11.041879369020474,0.08019609452554799,0.18886057864898634,1.0,0.0,8.559,1.2623466243468946
0.0,0.5408163265306123,0.0,0.925,11.041484275223144,0.08078324901152789,0.18795921944975486,1.0,0.0,8.5403,1.2816301767670737
0.0,0.5408163265306123,0.25,0.791,10.992921313281562,0.0808244033957512,0.18806603272612277,1.0,0.0,8.5615,1.2642063716023582
0.0,0.5408163265306123,0.5,0.841,11.038238944686784,0.08045372019796782,0.18917561043018652,1.0,0.0,8.5555,1.2692201345708318
0.0,0.5408163265306123,0.75,0.971,11.088153994240882,0.08050583430455406,0.18804705232128938,1.0,0.0,8.5507,1.263023954642191
0.0,0.5408163265306123,1.0,1.06,10.945154178904929,0.08034886988233106,0.18863852440487044,1.0,0.0,8.5554,1.2615588927989054
0.0,0.5510204081632653,0.0,1.254,10.993065268613664,0.08022093439433413,0.18922104129403178,1.0,0.0,8.5716,1.238657918878332
0.0,0.5510204081632653,0.25,0.965,11.152523257092989,0.08064857366297594,0.18805218869711107,1.0,0.0,8.5323,1.2954368799752458
0.0,0.5510204081632653,0.5,1.213,11.022641743248304,0.08077625231012912,0.18791991627253524,1.0,0.0,8.5589,1.2498523072747436
0.0,0.5510204081632653,0.75,1.169,11.129395266590183,0.08079686597480956,0.18759098308014718,1.0,0.0,8.5399,1.2782832197912948
0.0,0.5510204081632653,1.0,1.442,11.042673408192421,0.08061473275838998,0.188136518767683,1.0,0.0,8.5682,1.2353739352924684
0.0,0.5612244897959183,0.0,1.348,10.968267684552561,0.08041738358194989,0.18874320673725825,1.0,0.0,8.5612,1.2397800450079846
0.0,0.5612244897959183,0.25,1.211,11.04732904371007,0.08045850368341159,0.18811600106056872,1.0,0.0,8.5471,1.2634008033874287
0.0,0.5612244897959183,0.5,1.319,10.976804589679093,0.08079986618317997,0.1878912573150884,1.0,0.0,8.5571,1.2566382096689566
0.0,0.5612244897959183,0.75,1.454,11.036570300596106,0.08100496942387926,0.18796464692703146,1.0,0.0,8.5576,1.251032469602608
0.0,0.5612244897959183,1.0,1.022,11.050588943581243,0.08055507951391702,0.18803179332587236,1.0,0.0,8.5784,1.2269692090676114
0.0,0.5714285714285714,0.0,1.701,11.060587642616463,0.08104517028659124,0.18777541629760544,1.0,0.0,8.5477,1.2655136150986288
0.0,0.5714285714285714,0.25,1.687,11.047354027096262,0.08069250357324174,0.1883386055461949,1.0,0.0,8.5759,1.2226361641960377
0.0,0.5714285714285714,0.5,1.381,11.011940746298992,0.08051270513623127,0.1882331151456159,1.0,0.0,8.5849,1.203491582853823
0.0,0.5714285714285714,0.75,1.614,10.987948125105069,0.08049380711416411,0.18823837767707335,1.0,0.0,8.5616,1.2480406403639266
0.0,0.5714285714285714,1.0,1.793,11.02792596094116,0.0809866373076219,0.18732867597283193,1.0,0.0,8.5531,1.2440178415119296
0.0,0.5816326530612245,0.0,1.718,11.087311486559761,0.08004273790439403,0.1893979920669303,1.0,0.0,8.5768,1.2228253186780194
0.0,0.5816326530612245,0.25,1.84,11.066815260046587,0.08074305484179295,0.18731408702410923,1.0,0.0,8.546,1.2644698493835274
0.0,0.5816326530612245,0.5,1.615,11.117633516176003,0.08092127006100507,0.18711955762184165,1.0,0.0,8.5523,1.245578062587809
0.0,0.5816326530612245,0.75,1.775,11.084194828673844,0.08052535027960797,0.18891784410308152,1.0,0.0,8.5663,1.2344246878607052
0.0,0.5816326530612245,1.0,1.897,10.921144216610273,0.08024683809396639,0.18895986148386568,1.0,0.0,8.5669,1.242628017549902
0.0,0.5918367346938775,0.0,2.043,11.019807212469734,0.080756960966465,0.18755483785574362,1.0,0.0,8.5773,1.2096382558434569
0.0,0.5918367346938775,0.25,2.096,10.902604459485818,0.08075513707523671,0.18816591541609587,1.0,0.0,8.577,1.2165816865299264
0.0,0.5918367346938775,0.5,2.083,10.954958283809209,0.0802803724993553,0.18870838379230756,1.0,0.0,8.5779,1.208110752373308
0.0,0.5918367346938775,0.75,2.369,10.953439596765937,0.08074739913874655,0.18783841356579953,1.0,0.0,8.5647,1.2217257916570314
0.0,0.5918367346938775,1.0,2.082,11.07272667413045,0.08097823218652053,0.1875070710974441,1.0,0.0,8.5762,1.2070598825244754
0.0,0.6020408163265306,0.0,2.223,10.914589822801405,0.08096365427492859,0.1873826325738408,1.0,0.0,8.5595,1.241152589329773
0.0,0.6020408163265306,0.25,2.261,10.900361416026534,0.08064335563334214,0.18790002366524142,1.0,0.0,8.5813,1.2102025904781397
0.0,0.6020408163265306,0.5,2.241,11.071942873768812,0.08083902342138657,0.18753135696460543,1.0,0.0,8.5597,1.2276953653085116
0.0,0.6020408163265306,0.75,2.224,11.035117761039071,0.08054963313238166,0.18862431825278234,1.0,0.0,8.5676,1.2295650613123326
0.0,0.6020408163265306,1.0,2.209,11.08288405605689,0.08093620637583984,0.1874315427156592,1.0,0.0,8.5773,1.2009266047515144
0.0,0.6122448979591837,0.0,2.488,11.04580716833315,0.08081982324519142,0.18820947008617692,1.0,0.0,8.5684,1.2095128936890254
0.0,0.6122448979591837,0.25,2.564,11.028413485175465,0.08074635942014252,0.18837116912831425,1.0,0.0,8.587,1.1804367835678453
0.0,0.6122448979591837,0.5,2.444,10.982115643171856,0.08100369862929836,0.18745305838564696,1.0,0.0,8.5534,1.2372341896342827
0.0,0.6122448979591837,0.75,2.349,10.966868240295403,0.0807649339696688,0.18804379076327413,1.0,0.0,8.5669,1.2207065126392993
0.0,0.6122448979591837,1.0,2.495,10.995679833461868,0.08123250399276549,0.18763272021070884,1.0,0.0,8.5825,1.1921383099288438
0.0,0.6224489795918368,0.0,2.689,11.024485430168612,0.08044573611677144,0.1883731621431795,1.0,0.0,8.5803,1.1982286551405787
0.0,0.6224489795918368,0.25,2.923,10.926393320762344,0.08043799583332396,0.18887798291025254,1.0,0.0,8.5999,1.1681695039676392
0.0,0.6224489795918368,0.5,2.839,11.048532889031014,0.08038122402634866,0.18809155067524763,1.0,0.0,8.5789,1.1913751676109419
0.0,0.6224489795918368,0.75,2.722,11.030444959293346,0.08068847933257034,0.18872893178579755,1.0,0.0,8.585,1.1788871871387865
0.0,0.6224489795918368,1.0,2.677,11.076266112729506,0.080354859391845,0.1881014432350477,1.0,0.0,8.5787,1.1914723286757438
0.0,0.6326530612244898,0.0,3.012,10.858538391514763,0.08099287421673736,0.18802941797586323,1.0,0.0,8.59,1.1725612990372827
0.0,0.6326530612244898,0.25,2.948,10.988598454762101,0.0810051698608548,0.18786656430317705,1.0,0.0,8.5724,1.1976469596671633
0.0,0.6326530612244898,0.5,2.859,11.097572662523998,0.08098639368039995,0.18797055045538794,1.0,0.0,8.5881,1.1767065861972557
0.0,0.6326530612244898,0.75,2.907,10.916013512267197,0.08037785759448292,0.18876104426815787,1.0,0.0,8.5875,1.1896822054649718
0.0,0.6326530612244898,1.0,3.042,10.972066168229208,0.08032444136076464,0.18877106373711408,1.0,0.0,8.5922,1.1650318278914102
0.0,0.6428571428571428,0.0,3.131,10.955676108757505,0.08062961780521243,0.1880130527098122,1.0,0.0,8.6029,1.1497876282166197
0.0,0.6428571428571428,0.25,3.038,11.025903863176026,0.08099326941804631,0.18781441651927205,1.0,0.0,8.5854,1.178688610278389
0.0,0.6428571428571428,0.5,3.254,10.991427750751948,0.08056586331909811,0.1886502098000348,1.0,0.0,8.5934,1.1618418308874923
0.0,0.6428571428571428,0.75,3.26,10.941316191391236,0.08091869535185062,0.18783245473505564,1.0,0.0,8.5874,1.1713074916519572
0.0,0.6428571428571428,1.0,3.44,11.045650727775163,0.08049562740046977,0.18877213524107833,1.0,0.0,8.5948,1.158539149101143
