epsilon,q,gamma,rho_mean,rho_std,IG_mean,IG_std,ICI_mean,ICI_std,ISI_mean,ISI_std
0.0,0.5,0.0,-0.6092,10.499432144644775,0.08084649477660938,0.18752181906686743,1.0,0.0,9.0,0.0
0.0,0.5,0.25,-0.5294,10.499958839919326,0.08088450170358492,0.18788737812489117,1.0,0.0,9.0,0.0
0.0,0.5,0.5,-0.6554,10.498849977021292,0.08084658667203243,0.18735172729316046,1.0,0.0,9.0,0.0
0.0,0.5,0.75,-0.6239,10.499268964551769,0.08049378629103009,0.18841460933809406,1.0,0.0,9.0,0.0
0.0,0.5,1.0,-0.4475,10.499868749179676,0.08067525345000665,0.18800266488925252,1.0,0.0,9.0,0.0
0.0,0.5102040816326531,0.0,-0.0464,10.490197664486596,0.080651014278074,0.1879186754493828,1.0,0.0,9.0,0.0
0.0,0.5102040816326531,0.25,-0.227,10.496450400016188,0.0811235117744084,0.18732249150546504,1.0,0.0,9.0,0.0
0.0,0.5102040816326531,0.5,-0.2207,10.496284652675916,0.08085194408252683,0.18778080888330792,1.0,0.0,9.0,0.0
0.0,0.5102040816326531,0.75,-0.2186,10.496228562679073,0.08076189710512305,0.1876701918633404,1.0,0.0,9.0,0.0
0.0,0.5102040816326531,1.0,-0.3614,10.499085200149581,0.0806447711604485,0.1872689938498441,1.0,0.0,9.0,0.0
0.0,0.5204081632653061,0.0,-0.2732,10.497550274230651,0.08121247502930926,0.18745464507994422,1.0,0.0,9.0,0.0
0.0,0.5204081632653061,0.25,-0.0296,10.48945774766265,0.08086665703954889,0.1879053522047469,1.0,0.0,9.0,0.0
0.0,0.5204081632653061,0.5,-0.1367,10.493713027808603,0.08027217180767342,0.18900521813384116,1.0,0.0,9.0,0.0
0.0,0.5204081632653061,0.75,-0.2501,10.497025768759453,0.08085759277730284,0.18774980151569232,1.0,0.0,9.0,0.0
0.0,0.5204081632653061,1.0,-0.0842,10.491763929864225,0.08094702634709948,0.1876026800851785,1.0,0.0,9.0,0.0
0.0,0.5306122448979592,0.0,0.1065,25.01837640115761,0.06361883978624043,0.1555689401130829,1.1735,0.45978011048761125,2.8984,1.7521493771936225
0.0,0.5306122448979592,0.25,0.7921,23.52767471702208,0.07113266044450359,0.16894228360040198,1.0,0.0,5.0448,2.0912180565402547
0.0,0.5306122448979592,0.5,0.7604,23.654597689244266,0.07146173270281006,0.1675341552538861,1.0,0.0,4.9667,2.084416251615785
