epsilon,q,gamma,rho_mean,rho_std,IG_mean,IG_std,ICI_mean,ICI_std,ISI_mean,ISI_std
0.0,0.5,0.0,0.052,9.999864799086035,0.006249396361344648,0.024348417784254315,1.0,0.0,9.0,0.0
0.0,0.5,0.25,0.036,9.999935199790047,0.006228670383165571,0.024307374088951082,1.0,0.0,9.0,0.0
0.0,0.5,0.5,0.212,9.99775254744785,0.006201497014595898,0.0243044949406653,1.0,0.0,9.0,0.0
0.0,0.5,0.75,0.04,9.999919999679998,0.006305503472759044,0.024483656684505126,1.0,0.0,9.0,0.0
0.0,0.5,1.0,0.172,9.998520690582183,0.006178032332387679,0.024362909695369646,1.0,0.0,9.0,0.0
0.0,0.5102040816326531,0.0,0.15,9.998874936711632,0.006352035361077018,0.02456109873692606,1.0,0.0,9.0,0.0
0.0,0.5102040816326531,0.25,0.096,9.999539189382679,0.0062908875857085374,0.02439522155428605,1.0,0.0,9.0,0.0
0.0,0.5102040816326531,0.5,0.202,9.997959591836725,0.006381751056438045,0.024695379231516223,1.0,0.0,9.0,0.0
0.0,0.5102040816326531,0.75,0.108,9.999416782992895,0.006235031743136145,0.02440186403821918,1.0,0.0,9.0,0.0
0.0,0.5102040816326531,1.0,0.166,9.998622105070279,0.006329765119981428,0.02456943695494818,1.0,0.0,9.0,0.0
0.0,0.5204081632653061,0.0,0.076,9.999711195829606,0.00627165733678961,0.024486993537856147,1.0,0.0,9.0,0.0
0.0,0.5204081632653061,0.25,0.094,9.999558190240208,0.006360181056483042,0.024571222459405746,1.0,0.0,9.0,0.0
0.0,0.5204081632653061,0.5,-0.082,9.999663794348288,0.006323887931385365,0.024537440118846943,1.0,0.0,9.0,0.0
0.0,0.5204081632653061,0.75,0.1,9.999499987499375,0.006286726124122225,0.024387479118062386,1.0,0.0,9.0,0.0
0.0,0.5204081632653061,1.0,-0.024,9.999971199958528,0.006320752550730797,0.024452164593052765,1.0,0.0,9.0,0.0
0.0,0.5306122448979592,0.0,0.158,9.998751722090114,0.006162907794876225,0.02432785146497451,1.0,0.0,9.0,0.0
0.0,0.5306122448979592,0.25,0.246,9.996973742088153,0.006192618139517131,0.02443158197411878,1.0,0.0,9.0,0.0
0.0,0.5306122448979592,0.5,0.212,9.99775254744785,0.006292022145015185,0.024388171756981866,1.0,0.0,9.0,0.0
0.0,0.5306122448979592,0.75,0.23,9.997354650106198,0.006331256745938664,0.0244134609723274,1.0,0.0,9.0,0.0
0.0,0.5306122448979592,1.0,0.1,9.999499987499375,0.00639421136358384,0.024553430640341545,1.0,0.0,9.0,0.0
0.0,0.5408163265306123,0.0,0.388,9.992469964928592,0.0061573506403377245,0.024368874607838382,1.0,0.0,9.0,0.0
0.0,0.5408163265306123,0.25,0.204,9.99791898346851,0.006285103061278577,0.02443901156142975,1.0,0.0,9.0,0.0
0.0,0.5408163265306123,0.5,0.24,9.997119585160519,0.006275580625882397,0.024512157031779225,1.0,0.0,9.0,0.0
0.0,0.5408163265306123,0.75,0.326,9.994684787425765,0.006164387462050981,0.024321156827451645,1.0,0.0,9.0,0.0
0.0,0.5408163265306123,1.0,0.004,9.999999199999968,0.006271556657648415,0.02438945221507348,1.0,0.0,9.0,0.0
0.0,0.5510204081632653,0.0,1.96,32.25613740050101,0.0066238589867145745,0.02535035706312468,9.9918,0.0901818163489736,0.0082,0.0901818163489736
0.0,0.5510204081632653,0.25,1.538,32.3118330646839,0.00643780902492069,0.02532313603425749,9.991,0.09444045743218316,0.009,0.09444045743218316
0.0,0.5510204081632653,0.5,1.456,32.416046396807864,0.006476934361109412,0.025407488595474165,9.9888,0.10523573537539423,0.0112,0.10523573537539424
0.0,0.5510204081632653,0.75,1.377,32.410706116960796,0.006482506206638282,0.025213150517520468,9.9889,0.10477017705435074,0.0111,0.10477017705435075
0.0,0.5510204081632653,1.0,1.376,32.23300519653729,0.006550778621696293,0.025273367908292647,9.9898,0.10047865444958944,0.0102,0.10047865444958944
0.0,0.5612244897959183,0.0,2.272,32.647787306339765,0.009275550564744321,0.034865758736044805,10.0,0.0,0.0,0.0
0.0,0.5612244897959183,0.25,1.994,32.606501866958986,0.009114427180442553,0.03470634799045515,10.0,0.0,0.0,0.0
0.0,0.5612244897959183,0.5,2.244,32.41241219039397,0.009280950597154626,0.0348229960898273,10.0,0.0,0.0,0.0
0.0,0.5612244897959183,0.75,2.214,32.142467297953345,0.009089647281824943,0.0345396204418411,10.0,0.0,0.0,0.0
0.0,0.5612244897959183,1.0,1.834,32.342486670013486,0.008994872951808067,0.03438734509414163,10.0,0.0,0.0,0.0
0.0,0.5714285714285714,0.0,3.236,32.97648107363792,0.012358198429343666,0.04501701845223355,10.0,0.0,0.0,0.0
0.0,0.5714285714285714,0.25,3.15,32.71265045819431,0.012315057184323543,0.04496615289734071,10.0,0.0,0.0,0.0
0.0,0.5714285714285714,0.5,3.166,33.14115936415019,0.01241377005800649,0.044931762123703124,10.0,0.0,0.0,0.0
0.0,0.5714285714285714,0.75,3.402,32.55620364845999,0.012320881965621016,0.045106154927330167,10.0,0.0,0.0,0.0
0.0,0.5714285714285714,1.0,3.168,32.59269513249863,0.012343646357138164,0.044991872694220926,10.0,0.0,0.0,0.0
0.0,0.5816326530612245,0.0,3.926,33.44348253397065,0.015725608774730095,0.05571496317491961,10.0,0.0,0.0,0.0
0.0,0.5816326530612245,0.25,3.822,32.87418920673178,0.015623709670443114,0.055516384534825,10.0,0.0,0.0,0.0
0.0,0.5816326530612245,0.5,4.252,32.80366589270169,0.015731807011837923,0.05569246489103765,10.0,0.0,0.0,0.0
0.0,0.5816326530612245,0.75,3.812,32.88325798943894,0.015512176599833028,0.05535976332214997,10.0,0.0,0.0,0.0
0.0,0.5816326530612245,1.0,3.678,32.30653673794206,0.015505868210208412,0.055573633862519664,10.0,0.0,0.0,0.0
0.0,0.5918367346938775,0.0,4.814,33.25876431859729,0.019257558874684735,0.06629970839996098,10.0,0.0,0.0,0.0
0.0,0.5918367346938775,0.25,4.704,33.40467607985445,0.0193407184520133,0.06639352960170733,10.0,0.0,0.0,0.0
0.0,0.5918367346938775,0.5,5.274,33.523498087162686,0.019877236654088384,0.06655499815304518,10.0,0.0,0.0,0.0
0.0,0.5918367346938775,0.75,5.32,33.0904457510019,0.01929883543128103,0.06662113548485397,10.0,0.0,0.0,0.0
0.0,0.5918367346938775,1.0,5.428,33.393065387891546,0.01936134457747819,0.066327638372894,10.0,0.0,0.0,0.0
0.0,0.6020408163265306,0.0,6.402,34.21131970561791,0.023487970714807717,0.07740396725970222,10.0,0.0,0.0,0.0
0.0,0.6020408163265306,0.25,6.322,34.03986363074917,0.023502953114252552,0.0771360062920041,10.0,0.0,0.0,0.0
0.0,0.6020408163265306,0.5,6.358,33.62165724648326,0.023126540234339955,0.07717065617220724,10.0,0.0,0.0,0.0
0.0,0.6020408163265306,0.75,6.124,33.446324521537484,0.023221885237306086,0.07700244859650372,10.0,0.0,0.0,0.0
0.0,0.6020408163265306,1.0,6.204,33.561739883385066,0.02360948603998066,0.07715400666260142,10.0,0.0,0.0,0.0
0.0,0.6122448979591837,0.0,6.922,33.87692305980577,0.027133819715274926,0.0875290024392779,10.0,0.0,0.0,0.0
0.0,0.6122448979591837,0.25,7.696,34.15335392022283,0.027691273082756197,0.08799556929687076,10.0,0.0,0.0,0.0
0.0,0.6122448979591837,0.5,7.842,33.99504428589556,0.0277150402431953,0.08784383755778026,10.0,0.0,0.0,0.0
0.0,0.6122448979591837,0.75,7.696,33.83210877258467,0.02735794599884083,0.08763687464932375,10.0,0.0,0.0,0.0
0.0,0.6122448979591837,1.0,8.08,33.9610600541267,0.028111886287014776,0.08797650937071064,10.0,0.0,0.0,0.0
0.0,0.6224489795918368,0.0,8.694,34.537723781395904,0.031698004815845934,0.09812453493724962,10.0,0.0,0.0,0.0
0.0,0.6224489795918368,0.25,9.06,34.79994827582363,0.03182550647460433,0.09832142559064533,10.0,0.0,0.0,0.0
0.0,0.6224489795918368,0.5,8.774,34.114174825136836,0.03138817285006981,0.09847344376791517,10.0,0.0,0.0,0.0
0.0,0.6224489795918368,0.75,8.814,34.13317160768978,0.03167984209823864,0.09866968790550323,10.0,0.0,0.0,0.0
